date,nominal_rate,expected_inflation,real_rate_approx,real_rate_exact,formula_difference,negative_real_rate
2007-01-01,4.98,2.6838116,2.2961884000000006,2.2361737105598634,0.060014689440137214,False
2007-02-01,5.03,2.6396415,2.3903585,2.328884303439427,0.06147419656057318,False
2007-03-01,4.94,2.7976602,2.1423398000000002,2.0840355664048404,0.05830423359515979,False
2007-04-01,4.87,2.7184483,2.1515517,2.0946107886249843,0.05694091137501589,False
2007-05-01,4.73,2.9243064,1.8056936000000006,1.7543898648997747,0.0513037351002259,False
2007-06-01,4.61,3.214615,1.3953850000000005,1.351925790741948,0.04345920925805258,False
2007-07-01,4.82,2.614408,2.205592,2.149397967583666,0.05619403241633414,False
2007-08-01,4.2,2.6534371,1.5465629,1.5065865729302574,0.039976327069742634,False
2007-09-01,3.89,2.5740481,1.3159519,1.2829286982191324,0.033023201780867595,False
2007-10-01,3.9,2.2920506,1.6079493999999999,1.57192019376724,0.03602920623275985,False
2007-11-01,3.27,2.6320037,0.6379963000000002,0.6216348478052636,0.016361452194736614,False
2007-12-01,3.0,2.5437758,0.45622419999999986,0.44490676927073647,0.011317430729263389,False
2008-01-01,2.75,2.466622,0.2833779999999999,0.2765563990193787,0.006821600980621234,False
2008-02-01,2.12,2.2977869,-0.17778690000000008,-0.17379349581998493,-0.003993404180015148,True
2008-03-01,1.26,1.9336763,-0.6736762999999999,-0.6608966971987984,-0.012779602801201495,True
2008-04-01,1.29,2.0175043,-0.7275043000000001,-0.7131171312137363,-0.014387168786263782,True
2008-05-01,1.73,2.2868435,-0.5568434999999998,-0.5443940598284125,-0.012449440171587334,True
2008-06-01,1.86,2.7285115,-0.8685115000000001,-0.8454434774906705,-0.0230680225093296,True
2008-07-01,1.63,2.9490198,-1.3190198,-1.2812358996350581,-0.037783900364941836,True
2008-08-01,1.72,3.0525448,-1.3325448000000002,-1.2930731624203218,-0.03947163757967842,True
2008-09-01,1.13,2.7309252,-1.6009252000000003,-1.5583673532417408,-0.042557846758259466,True
